Districts
Sant Kabir Nagar 
Maharajganj
Gorakhpur
Kushinagar 
Deoria
Azamgarh
Mau
Ballia
Jaunpur
Ghazipur
Chandauli 
Varanasi
Sant Ravidas Nagar 
Mirzapur
Sonbhadra
BIHAR
Pashchim Champaran
Purba Champaran
Sheohar 
Sitamarhi
Madhubani
Supaul 
Araria
Kishanganj
Purnia
Katihar
Madhepura
Saharsa
Darbhanga
Muzaffarpur
Gopalganj
Siwan
Saran
Vaishali
Samastipur
Begusarai
Khagaria
Bhagalpur
Banka 
Munger
Lakhisarai 
Sheikhpura 
Nalanda
Patna
Bhojpur
Buxar 
Kaimur (Bhabua) 
Rohtas
Jehanabad 
Aurangabad
Gaya
Nawada
Jamui 
SIKKIM
North 
West
South
East
ARUNACHAL PRADESH
Tawang
West Kameng
East Kameng
Papum Pare 
Lower Subansiri
Upper Subansiri
West Siang
East Siang
Upper Siang 
Dibang Valley
Lohit
Changlang
Tirap
NAGALAND
Mon
Tuensang
Mokokchung
Zunheboto
Wokha
Dimapur 
Kohima
Phek
MANIPUR
Senapati
Tamenglong
Churachandpur
Bishnupur
Thoubal
Imphal West
Imphal East 
Ukhrul
Chandel
MIZORAM
Mamit 
Kolasib 
Aizawl
Champhai 
Serchhip 
Lunglei
Lawngtlai
Saiha 
TRIPURA
West Tripura 
South Tripura 
Dhalai  
North Tripura 
MEGHALAYA
West Garo Hills
East Garo Hills
South Garo Hills 
West Khasi Hills
Ri Bhoi  
East Khasi Hills
Jaintia Hills
ASSAM
Kokrajhar
Dhubri
Goalpara
Bongaigaon
Barpeta
Kamrup
Nalbari
Darrang
Marigaon
Nagaon
Sonitpur
Lakhimpur
Dhemaji
Tinsukia
Dibrugarh
Sibsagar
Jorhat
Golaghat
Karbi Anglong
North Cachar Hills
Cachar
Karimganj
Hailakandi
WEST BENGAL
Darjiling 
Jalpaiguri 
Koch Bihar 
Uttar Dinajpur
Dakshin Dinajpur 
Maldah 
Murshidabad 
Birbhum
Barddhaman 
Nadia 
North Twenty Four Parganas
Hugli 
Bankura 
Puruliya
Medinipur 
Haora 
Kolkata
South  Twenty Four Parganas
JHARKHAND
Garhwa 
Palamu
Chatra 
Hazaribag
Kodarma 
Giridih
Deoghar
Godda
Sahibganj
Pakaur 
Dumka
Dhanbad
Bokaro 
Ranchi
Lohardaga
Gumla
Pashchimi Singhbhum
Purbi Singhbhum
ORISSA
Bargarh  
Jharsuguda  
Sambalpur
Debagarh  
Sundargarh
Kendujhar
Mayurbhanj
Baleshwar
Bhadrak  
Kendrapara 
Jagatsinghapur  
Cuttack
Jajapur  
Dhenkanal
Anugul  
Nayagarh  
Khordha  
Puri
Ganjam
Gajapati  
Kandhamal
Baudh  
Sonapur  
Balangir
Nuapada  
Kalahandi
Rayagada  
Nabarangapur  
Koraput
Malkangiri  
CHHATTISGARH
Koriya 
Surguja
Jashpur 
Raigarh
Korba 
Janjgir - Champa
Bilaspur
Kawardha 
Rajnandgaon
Durg
Raipur
Mahasamund 
Dhamtari 
Kanker 
Baster
Dantewada
MADHYA PRADESH
Sheopur 
Morena
Bhind
Gwalior
Datia
Shivpuri
Guna
Tikamgarh
Chhatarpur
Panna
Sagar
Damoh
Satna
Rewa
Umaria 
Shahdol
Sidhi
Neemuch 
Mandsaur
Ratlam
Ujjain
Shajapur
Dewas
Jhabua
Dhar
Indore
West Nimar
Barwani 
East Nimar
Rajgarh
Vidisha
Bhopal
Sehore
Raisen
Betul
Harda 
Hoshangabad
Katni 
Jabalpur
Narsimhapur
Dindori 
Mandla
Chhindwara
Seoni
Balaghat
GUJARAT
Kachchh
Banas Kantha
Patan  
Mahesana
Sabar Kantha
Gandhinagar
Ahmadabad
Surendranagar
Rajkot
Jamnagar
Porbandar  
Junagadh
Amreli
Bhavnagar
Anand  
Kheda
Panch Mahals
Dohad  
Vadodara
Narmada  
Bharuch
Surat
The Dangs
Navsari  
Valsad
DAMAN & DIU
Diu
Daman
DADRA & NAGAR HAVELI
Dadra & Nagar Haveli
MAHARASHTRA
Nandurbar 
Dhule
Jalgaon
Buldana
Akola
Washim 
Amravati
Wardha
Nagpur
Bhandara
Gondiya 
Gadchiroli
Chandrapur
Yavatmal
Nanded
Hingoli 
Parbhani
Jalna
Aurangabad
Nashik
Thane
Mumbai (Suburban) 
Mumbai
Raigarh
Pune
Ahmadnagar
Bid
Latur
Osmanabad
Solapur
Satara
Ratnagiri
Sindhudurg
Kolhapur
Sangli
ANDHRA PRADESH
Adilabad
Nizamabad
Karimnagar
Medak
Hyderabad
Rangareddi
Mahbubnagar
Nalgonda
Warangal
Khammam
Srikakulam
Vizianagaram
Visakhapatnam
East Godavari
West Godavari
Krishna
Guntur
Prakasam
Nellore
Cuddapah
Kurnool
Anantapur
Chittoor
KARNATAKA
Belgaum
Bagalkot 
Bijapur
Gulbarga
Bidar
Raichur
Koppal 
Gadag
Dharwad
Uttara Kannada
Haveri
Bellary
Chitradurga
Davangere
Shimoga
Udupi
Chikmagalur
Tumkur
Kolar
Bangalore
Bangalore Rural
Mandya
Hassan
Dakshina Kannada
Kodagu
Mysore
Chamrajnagar
GOA
North Goa 
South Goa
LAKSHADWEEP
Lakshadweep
KERALA
Kasaragod
Kannur
Wayanad
Kozhikode
Malappuram
Palakkad
Thrissur
Ernakulam
Idukki
Kottayam
Alappuzha
Pathanamthitta
Kollam
Thiruvananthapuram
TAMIL NADU
Thiruvallur
Chennai
Kancheepuram
Vellore
Dharmapuri
Tiruvannamalai
Viluppuram
Salem
Namakkal
Erode
The Nilgiris
Coimbatore
Dindigul
Karur
Tiruchirappalli
Perambalur
Ariyalur
Cuddalore
Nagapattinam
Thiruvarur
Thanjavur
Pudukkottai
Sivaganga
Madurai
Theni
Virudhunagar
Ramanathapuram
Thoothukkudi
Tirunelveli 
Kanniyakumari
PONDICHERRY
Yanam
Pondicherry
Mahe
Karaikal
ANDAMAN & NICOBAR ISLANDS
Andamans
Nicobars
